number,value,datetime_start,datetime_complete,duration,params_bagging_fraction,params_boost_from_average,params_boosting_type,params_feature_fraction,params_lambda_l1,params_lambda_l2,params_learning_rate,params_max_depth,params_min_child_samples,params_num_iterations,params_num_leaves,params_objective,state
63,0.016117107453629445,2023-12-31 22:51:57.777108,2023-12-31 22:52:51.007955,0 days 00:00:53.230847,0.7488789285638856,True,rf,0.7995081581270949,1.990875534337436,6.023572562528975e-08,0.0753026947435233,6,85,194,102,regression,COMPLETE
64,0.01607264025061446,2023-12-31 22:52:51.009051,2023-12-31 22:53:48.402617,0 days 00:00:57.393566,0.5164857554700496,True,rf,0.9232794001046287,5.02761580478116,5.566802083737463,0.012354048770827545,7,34,254,134,regression,COMPLETE
65,0.01607264025061446,2023-12-31 22:53:48.403551,2023-12-31 22:54:51.156050,0 days 00:01:02.752499,0.8100931212902016,True,rf,0.9733240901389347,9.225036911648195,1.335372338720251,0.029824339823959455,7,70,199,181,regression,COMPLETE
66,0.016086925111567722,2023-12-31 22:54:51.156981,2023-12-31 22:55:49.401503,0 days 00:00:58.244522,0.6872492074312514,True,dart,0.6655021018345362,1.630368690164675,0.3071853591238795,0.08505888030620981,7,37,234,165,regression,COMPLETE
67,0.01607264025061446,2023-12-31 22:55:49.402492,2023-12-31 22:57:51.552057,0 days 00:02:02.149565,0.8399543155941831,True,rf,0.8331613407919352,9.95579112304622,1.2175144531462403e-05,0.019531487901173924,5,64,620,118,regression,COMPLETE
68,0.01617612432719664,2023-12-31 22:57:51.553076,2023-12-31 23:07:00.048696,0 days 00:09:08.495620,0.9503832088695852,True,rf,0.8345863528809943,0.4860559915286378,0.0018174978862306851,0.016341359977493114,5,60,599,118,regression_l1,COMPLETE
69,0.0163444205346699,2023-12-31 23:07:00.049696,2023-12-31 23:13:56.216432,0 days 00:06:56.166736,0.886922158525238,True,rf,0.7621108448935039,1.373456369772064e-08,2.4846529558431766e-05,0.020515929870296677,5,48,645,124,regression,COMPLETE
70,0.016113931705181758,2023-12-31 23:13:56.217518,2023-12-31 23:17:23.395752,0 days 00:03:27.178234,0.4736767746530387,True,rf,0.9617980888813499,1.0439208233134136,0.0007144285396888228,0.04272721706419994,7,25,120,172,mape,COMPLETE
71,0.01607765973512611,2023-12-31 23:17:23.396744,2023-12-31 23:17:59.324502,0 days 00:00:35.927758,0.43522948762829683,True,rf,0.7775010890807653,2.5420454714804332,1.5170973266592634e-08,0.04812184383292133,6,90,110,143,regression,COMPLETE
72,0.01607264025061446,2023-12-31 23:17:59.325499,2023-12-31 23:19:01.995328,0 days 00:01:02.669829,0.4683814136613441,True,rf,0.8129009935858102,5.4289570846739625,2.641061969262375e-08,0.03407977572436317,6,10,374,108,regression,COMPLETE
73,0.01607264025061446,2023-12-31 23:19:01.996398,2023-12-31 23:20:15.166442,0 days 00:01:13.170044,0.6202139354963095,True,rf,0.8627352165143103,4.98501513449816,2.458919923931329e-08,0.03601243749157836,6,9,366,112,regression,COMPLETE
74,0.01607264025061446,2023-12-31 23:20:15.167424,2023-12-31 23:21:36.856470,0 days 00:01:21.689046,0.6015620069290092,True,rf,0.8593305888620668,5.230337301778429,2.468237123333518e-08,0.03614836116752286,6,17,446,93,regression,COMPLETE
75,0.016086184689426557,2023-12-31 23:21:36.857435,2023-12-31 23:23:01.878014,0 days 00:01:25.020579,0.6366909470210182,True,rf,0.8881640548719084,3.048521432624978,0.000329316832934709,0.03686750737878453,6,13,440,95,regression,COMPLETE
76,0.01613366614067254,2023-12-31 23:23:01.879066,2023-12-31 23:24:59.924800,0 days 00:01:58.045734,0.5923510589442691,True,rf,0.74140030791931,1.1603912174788447,1.0490066220567571e-08,0.056634333864849395,6,18,503,84,regression,COMPLETE
77,0.01607264025061446,2023-12-31 23:24:59.925796,2023-12-31 23:25:46.078100,0 days 00:00:46.152304,0.725062145670266,True,rf,0.7165631328384987,7.427230563414996,2.338755727251785e-06,0.1454080925012105,7,68,163,103,regression,COMPLETE
78,0.016100232685770422,2023-12-31 23:25:46.079058,2023-12-31 23:26:29.779852,0 days 00:00:43.700794,0.4481120298583166,True,gbdt,0.8111831467358704,2.6025614326408397,1.083254106979381e-08,0.10243888673201446,6,74,190,129,regression,COMPLETE
79,0.01616290791540994,2023-12-31 23:26:29.780790,2023-12-31 23:28:16.532368,0 days 00:01:46.751578,0.5704015313031978,True,dart,0.9977610206707981,0.3883454875489108,1.8833299013995632,0.06281789319516312,7,30,100,158,regression,COMPLETE
80,0.016254762139070452,2023-12-31 23:28:16.533444,2023-12-31 23:32:56.100261,0 days 00:04:39.566817,0.535220801599735,False,rf,0.9499661385814498,6.480756161858034e-08,9.69502300740494,0.026992288686690874,8,26,177,154,regression,COMPLETE
81,0.01607264025061446,2023-12-31 23:32:56.101273,2023-12-31 23:33:38.735096,0 days 00:00:42.633823,0.48292592266174394,True,rf,0.9356641442652007,9.850046013054431,1.296726072085771e-07,0.041117922869812404,6,97,138,146,regression,COMPLETE
82,0.01609360198832522,2023-12-31 23:33:38.736148,2023-12-31 23:34:49.163889,0 days 00:01:10.427741,0.7845925617213201,True,rf,0.786284318989218,3.0333725817979933,1.4359039172244503e-07,0.047905263649830436,6,21,318,123,regression,COMPLETE
83,0.01607264025061446,2023-12-31 23:34:49.164904,2023-12-31 23:35:56.548456,0 days 00:01:07.383552,0.7350772752602812,True,rf,0.9082832027167113,6.874511937470793,3.4467962431046606e-07,0.04996908657788224,6,13,273,132,regression,COMPLETE
84,0.016315187597222867,2023-12-31 23:35:56.549404,2023-12-31 23:38:39.021567,0 days 00:02:42.472163,0.5066265234369278,True,rf,0.9142396682228053,0.0012935549284730666,5.447923993284767e-08,0.05593973410660888,6,96,216,108,regression,COMPLETE
85,0.01607264025061446,2023-12-31 23:38:39.022577,2023-12-31 23:39:34.338814,0 days 00:00:55.316237,0.4200272318501896,True,rf,0.9797519233897504,9.041712133611075,4.076317018467136e-07,0.024549571773505325,7,28,257,150,regression,COMPLETE
